problem,epsilon,seed,mu_mode,iterations,elapsed_seconds,objective_value,dual_value,gap,mu_final,stages,converged,predicted_iterations,percent_of_predicted
sum_absolute,0.001,1,continuation_mu,164147,7.967648800000461,67.09681937608445,67.0958193864241,0.0009999896603574143,3.3333333333333333e-06,3,True,643545,25.50668562415993
sum_absolute,0.001,2,fixed_mu,113719,6.0379300999993575,64.19186916822106,64.19086916948727,0.000999998733789198,3.3333333333333333e-06,1,True,608900,18.676137296764658
sum_absolute,0.001,2,continuation_mu,150349,7.9423705999979575,64.1919594987876,64.19095950311247,0.0009999956751300942,3.3333333333333333e-06,3,True,608900,24.691903432419117
sum_absolute,0.001,3,fixed_mu,114536,5.623621600003389,68.4157181253822,68.41471812840923,0.0009999969729648228,3.3333333333333333e-06,1,True,621769,18.42098914548651
sum_absolute,0.001,3,continuation_mu,149394,7.323446899998089,68.4157987102884,68.41479871405556,0.0009999962328350875,3.3333333333333333e-06,3,True,621769,24.027251278207824
sum_absolute,0.001,4,fixed_mu,112225,5.971256099997845,78.38618175502312,78.38518177089112,0.0009999841319938696,3.3333333333333333e-06,1,True,614783,18.254408466076647
sum_absolute,0.001,4,continuation_mu,146358,7.713210699999763,78.38625685857738,78.3852568667967,0.000999991780687992,3.3333333333333333e-06,3,True,614783,23.806448779488047
sum_absolute,0.0001,0,fixed_mu,1312694,72.08335029999944,70.57394333634048,70.57384333641835,9.999992212783582e-05,3.3333333333333335e-07,1,True,6139043,21.38271388553558
sum_absolute,0.0001,0,continuation_mu,1718016,105.42000049999842,70.5739526737226,70.57385267381791,9.999990469111708e-05,3.3333333333333335e-07,3,True,6139043,27.985078456039485
sum_absolute,0.0001,1,fixed_mu,1419076,75.58002669999769,74.94490284595227,74.94480284595461,9.999999765852863e-05,3.3333333333333335e-07,1,True,6287799,22.568723968434742
sum_absolute,0.0001,1,continuation_mu,1828131,97.50175909999962,74.94491121659843,74.9448112166904,9.999990803066794e-05,3.3333333333333335e-07,3,True,6287799,29.074259530242617
sum_absolute,0.0001,2,fixed_mu,1406478,75.35452239999722,65.15148073886279,65.15138073893344,9.999992934695001e-05,3.3333333333333335e-07,1,True,6249462,22.50558528078097
sum_absolute,0.0001,2,continuation_mu,1829638,96.91656290000174,65.15148929391536,65.15138929393169,9.999998367504759e-05,3.3333333333333335e-07,3,True,6249462,29.276728140758358
sum_absolute,0.0001,3,fixed_mu,1052873,50.884039600001415,76.07164564252771,76.07154564262567,9.99999020478981e-05,3.3333333333333335e-07,1,True,6362495,16.5481151655129
sum_absolute,0.0001,3,continuation_mu,1358038,65.85397749999902,76.07165313373244,76.0715531337809,9.999995154430508e-05,3.3333333333333335e-07,3,True,6362495,21.344425418016044
sum_absolute,0.0001,4,fixed_mu,1297323,68.35651289999805,70.6902112944897,70.69011129461133,9.999987837261415e-05,3.3333333333333335e-07,1,True,6199953,20.92472313903025
sum_absolute,0.0001,4,continuation_mu,1664719,87.96300920000431,70.69021986720307,70.69011986725229,9.999995077691892e-05,3.3333333333333335e-07,3,True,6199953,26.85050999580158
