problem,seed,epsilon,inverse_epsilon,log_inverse_epsilon,iterations,predicted_iterations,elapsed_seconds,gap,converged
matrix_game,3,0.01,100.0,4.605170185988092,1082,2511,0.603726899999856,0.009984802359286414,True
matrix_game,3,0.005,200.0,5.298317366548036,2114,5022,1.6994738000003053,0.004992962923457328,True
matrix_game,3,0.001,1000.0,6.907755278982137,9695,25108,16.81097409999984,0.0009993360881727642,True
matrix_game,3,0.0005,2000.0,7.600902459542082,18517,50216,42.159163100000114,0.0004998173937921513,True
matrix_game,3,0.0001,10000.0,9.210340371976184,80338,251079,296.3666360999996,9.99683996957268e-05,True
matrix_game,4,0.1,10.0,2.302585092994046,69,252,0.017061800000192306,0.09931816645531594,True
matrix_game,4,0.05,20.0,2.995732273553991,209,503,0.06513900000027206,0.04986114993009286,True
matrix_game,4,0.01,100.0,4.605170185988092,1089,2511,0.6358809000003021,0.009989840529703888,True
matrix_game,4,0.005,200.0,5.298317366548036,2151,5022,1.8839003000002776,0.0049938952494948605,True
matrix_game,4,0.001,1000.0,6.907755278982137,9762,25108,17.752316600000086,0.0009999731559123398,True
matrix_game,4,0.0005,2000.0,7.600902459542082,18432,50216,45.38094699999965,0.0004996502708348866,True
matrix_game,4,0.0001,10000.0,9.210340371976184,81617,251079,312.59429439999985,9.9965407253641e-05,True
continuous_location,0,0.1,10.0,2.302585092994046,320,1000,0.05925249999927473,0.0993018905986105,True
continuous_location,0,0.05,20.0,2.995732273553991,624,2000,0.1144852000006722,0.049759650470157624,True
continuous_location,0,0.01,100.0,4.605170185988092,3152,9997,0.5813879999996061,0.009998827945551625,True
continuous_location,0,0.005,200.0,5.298317366548036,6328,19993,1.2043554000001677,0.004998973574281251,True
continuous_location,0,0.001,1000.0,6.907755278982137,31139,99962,5.896371300000283,0.0009999081744922478,True
continuous_location,0,0.0005,2000.0,7.600902459542082,62786,199924,11.819300599999224,0.000499964655915619,True
continuous_location,0,0.0001,10000.0,9.210340371976184,313809,999619,58.56846680000035,9.999959672768455e-05,True
continuous_location,1,0.1,10.0,2.302585092994046,339,945,0.062309799999638926,0.09918292729640044,True
continuous_location,1,0.05,20.0,2.995732273553991,673,1890,0.12404280000009749,0.049892760459545826,True
continuous_location,1,0.01,100.0,4.605170185988092,3442,9450,0.6339563000001363,0.009998423695488867,True
continuous_location,1,0.005,200.0,5.298317366548036,6862,18900,1.2641002000000299,0.004999343826170843,True
continuous_location,1,0.001,1000.0,6.907755278982137,34633,94497,6.383252800000264,0.0009999625330330275,True
continuous_location,1,0.0005,2000.0,7.600902459542082,68915,188994,12.786818200000198,0.0004999810128616389,True
continuous_location,1,0.0001,10000.0,9.210340371976184,346911,944970,65.81510530000105,9.999988473552435e-05,True
continuous_location,2,0.1,10.0,2.302585092994046,338,1017,0.06333199999971839,0.09993730606351647,True
continuous_location,2,0.05,20.0,2.995732273553991,663,2034,0.12275119999867456,0.0499661110195504,True
continuous_location,2,0.01,100.0,4.605170185988092,3291,10167,0.6205227999998897,0.009998651905625877,True
